Sr_No,Location_Coordinates,Hospital_Name,District,Address_First_Line,State,Pincode,Telephone,,,
18986,"18.8772346, 72.9283391",Sai Krupa Drushti Eye Hospital,Raigarh,Shree Hari Krupa H-102 Balai Road Uran,Maharashtra,400702,0,,,
18987,"18.9915077, 73.1091404",Shree Hospital,Raigarh,"H-Wing,Harikrupa Apt.,Balaji Road,Uran,Navi",Maharashtra,400702,0,,,
18988,"18.8772346, 72.9283391",Shree Panta Clinic,Raigarh,"At Khopte, Po.Koproli, Tal.Uran",Maharashtra,400702,0,,,
18989,"18.8796649, 72.9427347",Taneja Clinic,Raigarh,Union Building Kotnaka Uran Navi,Maharashtra,400702,0,,,
18990,"18.8772346, 72.9283391",Uran Children And General Hospital,Raigarh,"First Floor, Plot No.3, Sector-79-E, Anand Nagar, Uran",Maharashtra,400702,0,,,
18991,"22.2361795, 83.3529534",Dr. Mali Fracture and Orthopaedic Hospital,Raigarh,"Nizampur Road, Mangaon",Maharashtra,402104,0,,,
18992,"18.2362513, 73.2840735",Dr. Vaidya Eye Hospital,Raigarh,"Kacheri Road, Mangaon",Maharashtra,402104,0,,,
18993,"22.2361795, 83.3529534",Mangaon Nursing Home,Raigarh,"Near S.T. Stand, Post & Tal Mangaon, Mangaon",Maharashtra,402104,0,,,
18994,"22.2361795, 83.3529534",Ashray Nursing Home,Raigarh,Shantinagar Nagothane,Maharashtra,402106,0,,,
18995,"22.2361795, 83.3529534",Dr Kokane Hospital,Raigarh,"OppositeTo Mseb Office, Nagothane",Maharashtra,402106,0,,,
18996,"22.2361795, 83.3529534",Maya Laxmi Maternity and Nursing Home,Raigarh,"At & Post Nagothane, Tal.Roha",Maharashtra,402106,0,,,
18997,"22.2361795, 83.3529534",Chintamani Nursing Home - Pen,Raigarh,"S. R. Mhatre Complex , Ground Floor, Behind Chinchpada, Urban Bank",Maharashtra,402107,0,,,
18998,"18.734888, 73.0966019",Dhanwantari Clinic and Prasutalaya,Raigarh,"Usant Wadkhal Naka, Pen",Maharashtra,402107,0,,,
18999,"18.734888, 73.0966019",Dharmi Clinic Maternity and Surgical Home,Raigarh,"Near Govt Hospital, Chinchapada Rd, Pen",Maharashtra,402107,0,,,
19000,"18.734888, 73.0966019",Jeevanrekha Hospital,Raigarh,"Opp Of Raigad Bazarm First Floor, Pen",Maharashtra,402107,0,,,
19001,"22.2361795, 83.3529534",Keskar Dental Clinic,Raigarh,"Classess, Opp New Rular Hospital , Chinchpada Road Pen",Maharashtra,402107,0,,,
19002,"18.734888, 73.0966019",Mangala Nursing Home and Cancer Hospital,Raigarh,"At Umberde, Po Kproli, Pen",Maharashtra,402107,0,,,
19003,"22.2361795, 83.3529534",Palvia Hospital and Icu,Raigarh,"""Keshariyaji"", At & Post Gadab, Taluka. Pen, Pen",Maharashtra,402107,0,,,
19004,"15.888506, 73.8266659",Shree Mhatre Hospital,Raigarh,"Mumbai-Goa Highway, At & Po Vadkhal, Tal-Pen",Maharashtra,402107,0,,,
19005,"22.2361795, 83.3529534",Shree Sai Rugnalaya,Raigarh,"Next To Rural Hospital, Pen, Chinchpada Road,OppositePen Nagar Palika",Maharashtra,402107,0,,,
19006,"18.734888, 73.0966019",Shree Siddhakala General Hospital,Raigarh,"Prabhu Ali, Near Shree Ambika Temple, Pen",Maharashtra,402107,0,,,
19007,"22.2361795, 83.3529534",Siddhakala General Hosital,Raigarh,"Near Shree Ram Mandir, Prabhu Ali, Pen",Maharashtra,402107,0,,,
19008,"18.7437868, 73.1028732",Sitamai Rugnalay,Raigarh,"Deo Ali,Pen",Maharashtra,402107,0,,,
19009,"18.7301684, 73.0921755",Soham Hospital,Raigarh,"Chinchpada, Pen",Maharashtra,402107,0,,,
19010,"18.734888, 73.0966019",Suitikagruha and Achupuncher X-Ray Center,Raigarh,"At & Post:- Johe, Tal: Pen",Maharashtra,402107,0,,,
19011,"18.7298687, 73.0927946",The Mahajan Nursing Home,Raigarh,"Chinchpada Road, Pen",Maharashtra,402107,0,,,
19012,"18.734888, 73.0966019",Trimurti Clinic and Maternity Home,Raigarh,"Shashinil, Jawahar Nagar, Behind Bhaji Market, Pen",Maharashtra,402107,0,,,
19013,"18.4389511, 73.1167514",Dr Jadhav Nursing Home,Raigarh,"Dr Jadhav Ashok Appasaheb, Reha Kolad Road, Damkhadi, Roha",Maharashtra,402109,0,,,
19014,"22.2361795, 83.3529534",Dr Talathi Nursing Home,Raigarh,"Roha Kolad Road, Dhamkhadi, Roha",Maharashtra,402109,0,,,
19015,"22.2361795, 83.3529534",Dr. Waghale Nursing Home,Raigarh,"Chhatrapati Shivaji Nagar,Behind Sanjay Gandhi Hospital",Maharashtra,402109,0,,,
19016,"18.4389511, 73.1167514",Wagles Nursing Home,Raigarh,"Behind Sanjay Gandhi Hospital, Roha",Maharashtra,402109,0,,,
19017,"18.734888, 73.0966019",Dr.Rawoot Clinic,Raigarh,Shriwardhan,Maharashtra,402110,0,,,
19018,"18.4371649, 73.1312725",Amrita Nursing Home,Raigarh,"At : Bhuvaneshwar, Post : Varse, Raigad, Post : Varse",Maharashtra,402116,0,,,
19019,"22.2361795, 83.3529534",Ril-Family Welfare Centre,Raigarh,"Family Welfare Center,Petro Chemical Township, Ril-Nmd",Maharashtra,402125,0,,,
19020,"18.6584467, 72.8766554",Anandi Maternity and Child Hospital,Raigarh,"Opposite Megha Theatre, Chendhare Alibag- Raigad",Maharashtra,402201,0,,,
19021,"18.6461783, 72.875917",Dhamankar Clinic,Raigarh,"Shreebag No 3, Alibag",Maharashtra,402201,0,,,
19022,"21.8974003, 83.3949632",Dr S N Tiwary,Raigarh,Ramnath,Maharashtra,402201,0,,,
19023,"18.6553938, 72.8670819",Dr Vaje Nursing Home,Raigarh,"Dr Vaje Nursing Home, Shreebag - 2, Alibag",Maharashtra,402201,0,,,
19024,"18.6553938, 72.8670819",Dr. S. N. Tiwary Surgical Clinic,Raigarh,"Ramnath,Alibaug,Near Alibaug S.T. Stand Ramnath Area",Maharashtra,402201,0,,,
19025,"22.2361795, 83.3529534",Dr. Saroj Tamboli Memorial Hospital,Raigarh,"Dr. B.T. Road, Ramnath At-Post-Chendhare,Near Mahesh Theatre",Maharashtra,402201,0,,,
19026,"18.6484409, 72.8819704",Dr.Kumthekar's Eye Hospital,Raigarh,"Plot No. M-25,Shribag, No.2, Alibag",Maharashtra,402201,0,,,
19027,"18.6481648, 72.8818243",Jayashree Hospital,Raigarh,Shreebag No 2 Alibaug,Maharashtra,402201,0,,,
19028,"18.6553938, 72.8670819",Laxmi I C U and Nursing Center,Raigarh,"Opposite Raigad Bazar Alibag, Shreebag No.03, Near Ice Factory, Alibag",Maharashtra,402201,0,,,
19029,"18.6553938, 72.8670819",Laxmi Icu and Nursing Center,Raigarh,"Opp Raigad Bazar,Near Ice Factory Shreebag No-3, Alibag",Maharashtra,402201,0,,,
19030,"18.6584467, 72.8766554",Modern Nursing Home and Intensive Care Unit,Raigarh,"Chendhare, Alibag",Maharashtra,402201,0,,,
19031,"18.6553938, 72.8670819",Prayas Hospital,Raigarh,"At- Gotheghar, Post-Kamarle, Tal - Alibag",Maharashtra,402201,0,,,
19032,"18.6553938, 72.8670819",R K Maternity Surgical and General Hospital,Raigarh,"Vishvangar, Chondhi, Kihim, Tal. Alibag",Maharashtra,402201,0,,,
19033,"18.6553938, 72.8670819",Sushrut Clinic,Raigarh,Opp Megha Theatre Chendhare Alibag,Maharashtra,402201,0,,,
19034,"18.6528079, 72.8710249",Tiwari Surgical Clinic,Raigarh,Ramnath Alibag,Maharashtra,402201,0,,,
19035,"18.6553938, 72.8670819",Vision Eye Care And Phaco Centre,Raigarh,"Nisarg, Shreebag No 3, Alibag",Maharashtra,402201,0,,,
19036,"18.6477909, 72.8787783",Samarth Orthopaedic Hospital,Raigarh,"Raiwadi Complex, Chendhare, Alibag",Maharashtra,402202,0,,,
19037,"18.6553938, 72.8670819",Varsolkar Maternity and General Nursing Home,Raigarh,"At & Po. Revdanda , Tal Alibag",Maharashtra,402202,0,,,
19038,"22.2361795, 83.3529534",Vikaram Hospital,Raigarh,Vikaram Baug Salav P O Ravdabda,Maharashtra,402202,0,,,
19039,"18.6553938, 72.8670819",Ashwini Hospital- Chaul,Raigarh,"Ap- Post Chaul, Tal Alibag",Maharashtra,402203,0,,,
19040,"18.6553938, 72.8670819",Dr Gawali Hospital,Raigarh,Bye Pass Road Gokul Nagar Alibag,Maharashtra,402204,0,,,
19041,"22.2361795, 83.3529534",Dr. Nandgaonkar Hospital,Raigarh,"C. Shivaji Road, Opposite Lic Building, Mahad",Maharashtra,402301,0,,,
19042,"18.0820208, 73.422441",Mahad Nursing Home,Raigarh,Mahad,Maharashtra,402301,0,,,
19043,"13.6287557, 79.4191795",Ranade Accident Hospital,Raigarh,"Tirupati Complex, Near S.T. Stand , Mahad",Maharashtra,402301,0,,,
19044,"18.734888, 73.0966019",Yashwant Hospital,Raigarh,Malad,Maharashtra,402301,0,,,
19045,"22.2361795, 83.3529534",Vibhavari Surgical Hospital,Raigarh,Koumudi Arcade Shop No-2 Sant Rohidas Nagar Near Vaibhav Hotel. Tal-Mahad,Maharashtra,402305,0,,,
19046,"18.9192249, 73.3277223",Dhanvantari Nursing Home,Raigarh,"Main Road, Neral(Khanda),  Tal-Karjat",Maharashtra,410101,0,,,
19047,"19.0422261, 73.0260947",V R Nursing Home,Raigarh,"S T Stand Near, Nerale",Maharashtra,410101,0,,,
19048,"18.9192249, 73.3277223",Mayur Clinic (Sabne Hospital),Raigarh,Vitthal Nagar Karjat,Maharashtra,410201,0,,,
19049,"22.2361795, 83.3529534",Madhavbaug Ayurvedic Cardiac Rehabilitation Centre,Raigarh,"Plot No-89/6, National Highway 4, Kalore-Rayati, Tal-Khalapur",Maharashtra,410202,0,,,
19050,"18.7693415, 73.4042644",Dhirubhai Ambani Hospital / Reliance Hospital,Raigarh,"Near Panvel, Bombay Pune Highway, Khopoli",Maharashtra,410203,0,,,
19051,"18.7889974, 73.3413948",Dr Dongare Clinic,Raigarh,"R D Nagar, Bazarpeth, Khopoli",Maharashtra,410203,0,,,
19052,"18.7889974, 73.3413948",Dr Dongares Clinic,Raigarh,"A-1, B, R.D. Nagar-Khopoli Bazaepeth, Khopoli",Maharashtra,410203,0,,,
19053,"22.2361795, 83.3529534",Jakhotia Nursing Home,Raigarh,"Beside Mahavir Garden, Shastrinagar,Khopoli, Tai Khalapur",Maharashtra,410203,0,,,
19054,"22.2361795, 83.3529534",Kulkarni. Nursing Home,Raigarh,"144, Lbs Nagar, Near Mahavir Garden, Khopoli, Tal- Khalapur",Maharashtra,410203,0,,,
19055,"18.7889974, 73.3413948",Maher Maternity and Surgical Home,Raigarh,"Bazar Peth, Khopoli",Maharashtra,410203,0,,,
19056,"18.7889974, 73.3413948",Shree Datta Clinic,Raigarh,"Zenith Corner, Bazar Peth, Khopoli",Maharashtra,410203,0,,,
19057,"18.7889974, 73.3413948",Shree Parvati Hospital,Raigarh,"L.B.Shastri Nagar, Near Gurudwara Mandir,Khopoli",Maharashtra,410203,0,,,
19058,"22.2361795, 83.3529534",Sumitraraj Hospital,Raigarh,"L. B. Shastri Nagar, Khopoli Gaon, Near Punjab National Bank",Maharashtra,410203,0,,,
19059,"18.7889974, 73.3413948",Suprama Hospital,Raigarh,Khopoli Tal Khalapur,Maharashtra,410203,0,,,
19060,"22.2361795, 83.3529534",Thakur Clinic,Raigarh,"Patankarwada, Near Mahajanwadi Hall, Near Lohana Samaj Hall, Opposite Patankar Wada",Maharashtra,410203,0,,,
19061,"18.7889974, 73.3413948",Vidya Prabha Hospital and Polyclinic,Raigarh,"Shastri Nagar, New Township, Khopoli",Maharashtra,410203,0,,,
19062,"22.2361795, 83.3529534",Aashirwad Ent Clinic,Raigarh,"Ground Floor,Trimurti,Sah Niwas Society,Near Virupaksha Mandir,Shivaji Rd,Panvel",Maharashtra,410206,0,,,
19063,"22.2361795, 83.3529534",Aayushman Hospital,Raigarh,"Plot No. 6, Road No. 16, Sector 19,Opposite Osite Hongkong Market, New Panvel",Maharashtra,410206,0,,,
19064,"22.2361795, 83.3529534",Akshay Eye Clinic,Raigarh,"842, M.G. Road, Near Tapal Naka, Panvel",Maharashtra,410206,0,,,
19065,"22.2361795, 83.3529534",Ameya Clinic,Raigarh,"115, Middle Class Housing Society, Near Telephone Exchange, Panvel",Maharashtra,410206,0,,,
19066,"22.2361795, 83.3529534",Anand Mangal Clinic,Raigarh,"Plot No 45, M C Co-Op Hsg Soc, Near Rupali Theatre, Panvel",Maharashtra,410206,0,,,
19067,"19.003417, 73.118678",Arunodaya Clinic,Raigarh,"Plot No 86, Sector No 10,Opp Cidco Garden New Panvel, Raigad Panvel Navi",Maharashtra,410206,0,,,
19068,"19.0091383, 73.1165197",Ashtvinayak Hospital,Raigarh,"Plot No.10,Sector-6,Khanda Colony,New Panvel, Navi Mumbai",Maharashtra,410206,0,,,
19069,"22.2361795, 83.3529534",Ashvini Maternity and Nursing Home,Raigarh,Amit Apts. Gr. Fl Shivaji Road,Maharashtra,410206,0,,,
19070,"22.2361795, 83.3529534",Ashwini Maternity And Gynaec Hospital,Raigarh,"Plot No 59/1, Godvari, Thananaka Road",Maharashtra,410206,0,,,
19071,"22.2361795, 83.3529534",Birmole Hospital,Raigarh,"118/1, Cuf Road, Cuf Nagar,Opp Royal Cosmo Club, Old Panvel,Behind Garden Hotel",Maharashtra,410206,0,,,
19072,"17.385044, 78.486671",Chaitanya Childrens Hospital,Raigarh,"Neel Gagan , Next To State Bank In Hyderabad , Sector-1-S , Plot No. 102 , New Panvel",Maharashtra,410206,0,,,
19073,"22.2361795, 83.3529534",Dandekar Clinic,Raigarh,Near Primary Marathi Kanyashala Panvel,Maharashtra,410206,0,,,
19074,"19.0755793, 72.8400105",Dhamke Hospital,Raigarh,"141, Sai Arcade, , Near St. Francis Church",Maharashtra,410206,0,,,
19075,"18.9922722, 73.1143877",Dr Ghodkes Sanjay Clinic,Raigarh,"140/4, Line Aali Opd Panvel",Maharashtra,410206,0,,,
19076,"22.2361795, 83.3529534",Dr. Khandekar Accident Clinic,Raigarh,"Nath-Krupa, Plot No. 2, Road 1, Sector 1 New Panvel (E) Near Petrol Pump",Maharashtra,410206,0,,,
19077,"22.2361795, 83.3529534",Dr. Oza`S Hospital,Raigarh,"Ground Floor, Guru Ganesh Building,Savarkar Chowk,Panvel,Navi",Maharashtra,410206,0,,,
19078,"22.2361795, 83.3529534",Dr. Patil's Hospital,Raigarh,"Aditya, Plot No. 102/5, Near Otel Garden, Thana Naka, Panvel",Maharashtra,410206,0,,,
19079,"22.2361795, 83.3529534",Dr.Prabhakar Patwardhan Smruti Rugnalaya,Raigarh,"196/1, Dr Babasaheb Ambedkar Marg ,Near Maitri Diagnostic Centre,Near Life Line Hospital",Maharashtra,410206,0,,,
19080,"22.2361795, 83.3529534",Gandhi Hospital,Raigarh,"Plot No. 142, M.C.C.H. Society, Near Kohinoor Technical Institute, Panvel, Panvel",Maharashtra,410206,0,,,
19081,"18.9894007, 73.1175162",Ghanate Hospital Panvel,Raigarh,J K Plaza Opp Durgamata Mandir Shivaji Chowk Panvel Raigad,Maharashtra,410206,0,,,
19082,"22.2361795, 83.3529534",Gune Hospital,Raigarh,"Opposite Ketki, Hotel Off Shivaji Road Near S.T. Stand",Maharashtra,410206,0,,,
19083,"22.2361795, 83.3529534",Ingle Eye Clinic,Raigarh,1 St Floor Neel Presidency Build. Panvel Tele. Exchange,Maharashtra,410206,0,,,
19084,"19.0143388, 73.1106183",Janeshwari Brain And Spinte Centre Swati Maternity,Raigarh,"Sector 4-A, Plot Noa-11, Kalamboli Highway Stop, Truck Terminal, Asudgaon, Panvel",Maharashtra,410206,0,,,
19085,"22.2361795, 83.3529534",Kuber Apartment,Raigarh,", A Near City Police Station,Joshi Ali, Panvel",Maharashtra,410206,0,,,
19086,"22.2361795, 83.3529534",Kulkarni Nursing Home,Raigarh,"Sector 1, Road No 9, Plot 11, New Panvel",Maharashtra,410206,0,,,
19087,"19.0259708, 73.0280785",Laxmi Eye Institute,Raigarh,Uran Road Near State Bank Of India,Maharashtra,410206,0,,,
19088,"22.2361795, 83.3529534",Life Line Hospital And Medical Research Centre,Raigarh,Opp S T Stand Opp S T Stand Panvel,Maharashtra,410206,0,,,
19089,"22.2361795, 83.3529534",Likhite Hospital,Raigarh,"Sai Prasad Apt, Plot No. 195/1, Ambedkar Rd, Panvel",Maharashtra,410206,0,,,
19090,"22.2361795, 83.3529534",Malhar Dental Clinic Panvel East,Raigarh,201/ 2Nd Floor Shiva Complex Bldg Plot No 6 Rd No 17 Sector 19 New Panvel East,Maharashtra,410206,0,,,
19091,"16.1579793, 74.8105323",Mother and Child Carwe Clinic,Raigarh,"Plot-6, Road-2, Sector-19",Maharashtra,410206,0,,,
19092,"22.2361795, 83.3529534",Nair's Eye Clinic,Raigarh,"Plot No.68 Mihir Villa Sector-4,OppositeNew Panvel Masjid,New Panvel",Maharashtra,410206,0,,,
19093,"22.2361795, 83.3529534",Neel Clinic,Raigarh,"Opposita Cidco Office, Sector-1, New Panvel (E)",Maharashtra,410206,0,,,
19094,"22.2361795, 83.3529534",Nikam Parmer Hospital,Raigarh,"Gul Apt., A Wing, Near Panchratna Hotel,New Uran Rd, Old Panvel",Maharashtra,410206,0,,,
19095,"18.9903309, 73.1133846",Panacea Hospital,Raigarh,"141, Sai Arcade Mission Compound, Line Ali Panvel Navi",Maharashtra,410206,0,,,
19096,"18.9602837, 73.1289792",Panvel Hospital,Raigarh,"101 Riddhi , Siddhi Plaza",Maharashtra,410206,0,,,
19097,"18.9894007, 73.1175162",Paramount Medical Services Pvt Ltd,Raigarh,Paramount House Near Rupali Theatre Panvel Navi,Maharashtra,410206,0,,,
19098,"22.2361795, 83.3529534",Patel Clinic,Raigarh,"Kuber Apt, A Joshi Ali, Near City Police Station. Panvel",Maharashtra,410206,0,,,
19099,"22.2361795, 83.3529534",Pawal Clinic,Raigarh,"Plot No. 32, Sector-9, Opp D.A.V. School, New Panvel East",Maharashtra,410206,0,,,
19100,"22.2361795, 83.3529534",Pritam Hospital,Raigarh,"M.G. Road, Near Pancharatna Hotel",Maharashtra,410206,0,,,
19101,"18.9845543, 73.1150443",Purohit Clinic,Raigarh,"Plot No 78, Mcch Society, Panvel Navi",Maharashtra,410206,0,,,
19102,"22.2361795, 83.3529534",Ranade Surgical Nursing Home,Raigarh,"148, Shruti, M.C.C.H Society , V.B. Phadke Marg",Maharashtra,410206,0,,,
19103,"22.2361795, 83.3529534",Sahasrabudhe Hospital and I.C.C.U,Raigarh,"77/4 Vidya Co.Op. Society, Nityandand Marg, Near Taluka Police Station, Panvel",Maharashtra,410206,0,,,
19104,"22.2361795, 83.3529534",Sai Child Care Clinic,Raigarh,Amrut Plot No 5&7 Sector 19 Vijay Marg Opp Fire Brigade New Panvel (E),Maharashtra,410206,0,,,
19105,"22.2361795, 83.3529534",Sanjay Clinic -Surgical And Orthopaedic Hospital,Raigarh,"140/4, Line Aali, Behind L.I.C. Building. Panvel",Maharashtra,410206,0,,,
19106,"19.0015736, 73.120208",Shree Childrens Hospital,Raigarh,New Panvel,Maharashtra,410206,0,,,
19107,"19.0042739, 73.1163018",Shreeyash Maternity and General Hospital,Raigarh,"Vijay Marg, Sector - 19, New Panvel, Panvel",Maharashtra,410206,0,,,
19108,"22.2361795, 83.3529534",Shri Ramkrishna Nursing Home,Raigarh,"Prajapati Cascade, 1St Floor, Sector-1, Road No.18, Sector-1, Road No.18",Maharashtra,410206,0,,,
19109,"22.2361795, 83.3529534",Shri Swami Samarth Hospital,Raigarh,"127/4, Behind Lic Building, Panvel",Maharashtra,410206,0,,,
19110,"22.2361795, 83.3529534",Siddhi Clinic - Panvel,Raigarh,"5 And 6, National Palace, Near Foodland Fresh, Plot No - 445,Takka, Panvel",Maharashtra,410206,0,,,
19111,"22.2361795, 83.3529534",Siddhivinayak Hospital,Raigarh,"141, Sai Arcade, A Wing, 1St Floor, Line Ali, Opposite S. T. Bus Stand, Near St. Francis Church, Panevl",Maharashtra,410206,0,,,
19112,"19.0119747, 73.1084052",Spandan Hospital and Research Centre,Raigarh,New Panvel(W),Maharashtra,410206,0,,,
19113,"18.9898845, 73.1105427",Sudha Shankar Netralaya,Raigarh,"C.J.Munot Nagar, Near City Post, M Phule Road, Panvel",Maharashtra,410206,0,,,
19114,"22.2361795, 83.3529534",Sukam Hospital,Raigarh,"Jasdanwala Complex,Vishrali Naka,Near Panchmukhi Maruthi Mandhir",Maharashtra,410206,0,,,
19115,"22.2361795, 83.3529534",Sulochan Eye Clinic,Raigarh,"B/3, Agarwal Banthia Complex, Near Shivaji Statue, Panvel",Maharashtra,410206,0,,,
19116,"22.2361795, 83.3529534",Thombare Hospital,Raigarh,"Shop No.116-119,1St Floor,Riddhi Complex,Serctor-8,OppositePetrol Pump,Khanda Colony,New Panvel",Maharashtra,410206,0,,,
19117,"22.2361795, 83.3529534",Trimurti Childrens Hospital,Raigarh,"Near Ketki Hotel, Panvel",Maharashtra,410206,0,,,
19118,"18.9877788, 73.1139305",Varun Netralaya - Panvel,Raigarh,"148,Shruti, M.C.C.H.Society, V.B. Phadke Marg, Panvel",Maharashtra,410206,0,,,
19119,"18.9981356, 73.1257403",Terna Group Of Hospitals,Raigarh,"Sector 12, New Panvel E",Maharashtra,410207,0,,,
19120,"22.2361795, 83.3529534",Sai Raj Hospital,Raigarh,12 Opp Bel Co Near Bharat Petorl Pump Bel Naka Midc Taloja,Maharashtra,410208,0,,,
19121,"19.0439138, 73.0656152",Abms Clinic,Raigarh,"Plot B - 58,Near Indian Oil Petrol Pump,Sector - 12,Kharghar,Navi",Maharashtra,410210,0,,,
19122,"19.0478987, 73.069195",Advanced Laparoscopy and Urology Centre,Raigarh,"74-79, Chaturbhuj Chs, Sector-21, Kharghar, Navi",Maharashtra,410210,0,,,
19123,"22.2361795, 83.3529534",Ek Omkar Healthcare Centre,Raigarh,"Sanjeevani Centre, Plot No.F-3,Sector-12, Kharghar,Near Gokhale School",Maharashtra,410210,0,,,
19124,"19.0596364, 73.0685464",Manas Multi- Speciality Hospital,Raigarh,"Plot No.E-106,Ganesh Chowk,Gurudwara, Road, Sector-12,Kharghar,Navi",Maharashtra,410210,0,,,
19125,"22.2361795, 83.3529534",Mitr Healthcare Private Limited,Raigarh,"No. 74-79, Chaturbhuj Chs,Sector 21,Shilp Chowk,Above Idbi Bank,Kharghar",Maharashtra,410210,0,,,
19126,"19.0439138, 73.0656152",Nimisha Medical Centre,Raigarh,"Secto No.12, Kharghar Navi",Maharashtra,410210,0,,,
19127,"19.0473216, 73.0699046",Niramaya Hospital,Raigarh,"Plot No. 5A, Sector-4, Next To Balbharti School, Kharghar, Navi",Maharashtra,410210,0,,,
19128,"19.0499426, 73.0685665",Om Navjeevan Hospital,Raigarh,"Plot No.-2, Sector-21 Kharghar, Navi",Maharashtra,410210,0,,,
19129,"22.2361795, 83.3529534",Sanjeevan Hospital,Raigarh,"Plot No. C-28, Sector-12. Opp, Gokhale High School, Kharghar, Navi",Maharashtra,410210,0,,,
19130,"22.2361795, 83.3529534",Shree Sai Nursing Home and Polyclinic,Raigarh,"1,2, Vishwakarma Tower Annapurna Mahilla Mandal Aruna Asfali Chs, Sec-21, Plot No 4,Kharghar",Maharashtra,410210,0,,,
19131,"19.0405554, 73.0676533",Sukrut Maternity Clinic,Raigarh,"1-B/ 101, Vignahar Complex, Plot No. F-72, Sector-12, Kharghar, Navi",Maharashtra,410210,0,,,
19132,"19.0703259, 73.0826336",Tata Memorila Centre Navi Mumbai,Raigarh,Kharghar Navi,Maharashtra,410210,0,,,
19133,"19.0284046, 73.0966941",Dr Singh's City Hospital And Medical Research Centre,Raigarh,"Plot No-32, Sector-4 Kalamboli",Maharashtra,410218,0,,,
19134,"19.0374942, 73.1006593",Jeevandeep Hospital,Raigarh,"Lakshman Vastu, A-25, Sector-14,Kalamboli.Navi",Maharashtra,410218,0,,,
19135,"22.2361795, 83.3529534",M G M Hospital,Raigarh,Sector  4 Kalamboli,Maharashtra,410218,0,,,
19136,"19.034944, 73.0570709",Om Maternity Home and Clinic,Raigarh,"A/32/1:3, Sector -5,Kalamboli, Navi",Maharashtra,410218,0,,,
19137,"19.0291908, 73.1002905",Vatsalya Multi Speciality Hospital,Raigarh,"Shop No 25 & 26, Mahavir Plaza, Opposite Hindustan Co Op Bank, Sector 5, Kalamboli, Navi",Maharashtra,410218,0,,,
19138,"22.2361795, 83.3529534",Priyanka Eye Clinic,Raigarh,"Rh No 2 Suyash Society,Sector 2 Opposite Shabri Hotel,New Panvel,Navi",Maharashtra,410221,0,,,
19139,"18.8938689, 73.1836372",Padmshree Hospital,Raigarh,Mohopada Rasayani,Maharashtra,410222,0,,,
19140,"22.2361795, 83.3529534",Rege Hospital And Polyclinic,Raigarh,"Dand-Apta Road, Chambharli, Post-Mohopada Opp H. I. L Colony, Rasayani",Maharashtra,410222,0,,,
19141,"17.9876444, 73.2632672",Ashwini Maternity and Nursing Home,Ratnagiri,Post Office Mandangad,Maharashtra,415203,0,,,
19142,"16.990215, 73.3120233",Aparna Hospital,Ratnagiri,"Desai Plaza, 1St Floor Op. Jagtap Building Chilpun",Maharashtra,415605,0,,,
19143,"17.5323106, 73.5177928",Chiranjeev Hospital,Ratnagiri,"Anand Karad Road, Markand, Chiplun",Maharashtra,415605,0,,,
19144,"17.5323106, 73.5177928",Dr Gokhales Janata Hospital,Ratnagiri,"Sonar Ali, Chiplun",Maharashtra,415605,0,,,
19145,"17.5323106, 73.5177928",Dr. Mukadam Netra Rugnalay,Ratnagiri,A8/9 Trade Centre Near Sbi Chiplun,Maharashtra,415605,0,,,
19146,"30.4457544, -86.5791189",Joshi Eye Hospital,Ratnagiri,"(Shriram) Karad Road, Near Shalimar Hotel, Chiplun",Maharashtra,415605,0,,,
19147,"17.5323106, 73.5177928",Lt Tatyasaheb Natu Memorial Hospital,Ratnagiri,"Near Bhaji Mandai, Chiplun",Maharashtra,415605,0,,,
19148,"17.5172097, 73.5472055",Mukund (Anna) Jadhav Hospital and Reserch Center,Ratnagiri,"Kherdi , Chiplun",Maharashtra,415605,0,,,
19149,"17.5248963, 73.5306489",Patankar Nursing Home,Ratnagiri,33/5B Chiplun Chiplun,Maharashtra,415605,0,,,
19150,"17.2804967, 74.1756595",Sanjeevan Hospital,Ratnagiri,341/A Karad Road Chiplun,Maharashtra,415605,0,,,
19151,"17.2826079, 73.4569787",Surgical Gynaec and Maternity Hospital,Ratnagiri,"439-A, Dr Kashinath Ghanekar Marg, Chipulan",Maharashtra,415605,0,,,
19152,"17.5323106, 73.5177928",Vijayashree Hospital,Ratnagiri,"Ghonsare,Tal.Chiplun",Maharashtra,415605,0,,,
19153,"17.5323106, 73.5177928",B.K.L. Walawalkar Hospital Diagnostic And Research Centre - Chiplun,Ratnagiri,"A/P - Sawarda, Tal - Chiplun",Maharashtra,415606,0,,,
19154,"16.990215, 73.3120233","Gharda Med, Foundation Hosp",Ratnagiri,"Lote Purusham Midc, Resi Zone,Garda Colony",Maharashtra,415606,0,,,
19155,"17.5308446, 73.5158887",Janata Hospital,Ratnagiri,"Wadnaka, Chiplun",Maharashtra,415606,0,,,
19156,"17.2826079, 73.4569787",Matrumandir Hospital,Ratnagiri,"Devrukh, Bhd Bus Depot, Sagameshwar",Maharashtra,415606,0,,,
19157,"17.5323106, 73.5177928","Saishwari Maternity , General and Surgical Nursing Home",Ratnagiri,"1504,Shahnaz Plaza , Bazarpeth , Sawarde, Tal. Chiplun",Maharashtra,415606,0,,,
